Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty
46, Permutations,"['Array', 'Backtracking']",79.50%,FALSE,Medium
47, Permutations II,"['Array', 'Backtracking']",60.30%,FALSE,Medium
48, Rotate Image,"['Array', 'Math', 'Matrix']",76.20%,FALSE,Medium
49, Group Anagrams,"['Array', 'Hash Table', 'String', '1+']",69.70%,FALSE,Medium
50," Pow(x, n)","['Math', 'Recursion']",35.80%,FALSE,Medium
51, N-Queens,"['Array', 'Backtracking']",70.40%,FALSE,Hard
52, N-Queens II,['Backtracking'],75.20%,FALSE,Hard
53, Maximum Subarray,"['Array', 'Divide and Conquer', '1+']",51.30%,FALSE,Medium
54, Spiral Matrix,"['Array', 'Matrix', 'Simulation']",51.80%,FALSE,Medium
55, Jump Game,"['Array', 'Dynamic Programming', 'Greedy']",38.90%,FALSE,Medium
56, Merge Intervals,"['Array', 'Sorting']",48.20%,FALSE,Medium
57, Insert Interval,['Array'],42.40%,FALSE,Medium
58, Length of Last Word,['String'],54.20%,FALSE,Easy
59, Spiral Matrix II,"['Array', 'Matrix', 'Simulation']",72.30%,FALSE,Medium
60, Permutation Sequence,"['Math', 'Recursion']",48.40%,FALSE,Hard
61, Rotate List,"['Linked List', 'Two Pointers']",38.80%,FALSE,Medium
62, Unique Paths,"['Math', 'Dynamic Programming', '1+']",65.00%,FALSE,Medium
63, Unique Paths II,"['Array', 'Dynamic Programming', 'Matrix']",42.30%,FALSE,Medium
64, Minimum Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",65.20%,FALSE,Medium
65, Valid Number,['String'],20.50%,FALSE,Hard
66, Plus One,"['Array', 'Math']",46.40%,FALSE,Easy
67, Add Binary,"['Math', 'String', 'Bit Manipulation', '1+']",54.50%,FALSE,Easy
68, Text Justification,"['Array', 'String', 'Simulation']",45.70%,FALSE,Hard
69, Sqrt(x),"['Math', 'Binary Search']",39.50%,FALSE,Easy
70, Climbing Stairs,"['Math', 'Dynamic Programming', '1+']",53.20%,FALSE,Easy
71, Simplify Path,"['String', 'Stack']",44.80%,FALSE,Medium
72, Edit Distance,"['String', 'Dynamic Programming']",57.60%,FALSE,Medium
73, Set Matrix Zeroes,"['Array', 'Hash Table', 'Matrix']",57.80%,FALSE,Medium
74, Search a 2D Matrix,"['Array', 'Binary Search', 'Matrix']",51.20%,FALSE,Medium
75, Sort Colors,"['Array', 'Two Pointers', 'Sorting']",65.40%,FALSE,Medium
76, Minimum Window Substring,"['Hash Table', 'String', 'Sliding Window']",44.00%,FALSE,Hard
77, Combinations,['Backtracking'],71.50%,FALSE,Medium
78, Subsets,"['Array', 'Backtracking', 'Bit Manipulation']",79.50%,FALSE,Medium
79, Word Search,"['Array', 'String', 'Backtracking', '1+']",43.90%,FALSE,Medium
80, Remove Duplicates from Sorted Array II,"['Array', 'Two Pointers']",60.70%,FALSE,Medium
81, Search in Rotated Sorted Array II,"['Array', 'Binary Search']",38.30%,FALSE,Medium
82, Remove Duplicates from Sorted List II,"['Linked List', 'Two Pointers']",48.60%,FALSE,Medium
83, Remove Duplicates from Sorted List,['Linked List'],53.70%,FALSE,Easy
84, Largest Rectangle in Histogram,"['Array', 'Stack', 'Monotonic Stack']",45.80%,FALSE,Hard
85, Maximal Rectangle,"['Array', 'Dynamic Programming', '3+']",52.00%,FALSE,Hard
86, Partition List,"['Linked List', 'Two Pointers']",57.50%,FALSE,Medium
87, Scramble String,"['String', 'Dynamic Programming']",41.00%,FALSE,Hard
88, Merge Sorted Array,"['Array', 'Two Pointers', 'Sorting']",51.40%,FALSE,Easy
89, Gray Code,"['Math', 'Backtracking', 'Bit Manipulation']",60.30%,FALSE,Medium
90, Subsets II,"['Array', 'Backtracking', 'Bit Manipulation']",58.30%,FALSE,Medium
91, Decode Ways,"['String', 'Dynamic Programming']",35.60%,FALSE,Medium
92, Reverse Linked List II,['Linked List'],48.50%,FALSE,Medium
93, Restore IP Addresses,"['String', 'Backtracking']",51.40%,FALSE,Medium
94, Binary Tree Inorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",77.30%,FALSE,Easy
95, Unique Binary Search Trees II,"['Dynamic Programming', 'Backtracking', '3+']",59.00%,FALSE,Medium
96, Unique Binary Search Trees,"['Math', 'Dynamic Programming', '3+']",61.70%,FALSE,Medium
97, Interleaving String,"['String', 'Dynamic Programming']",40.80%,FALSE,Medium
98, Validate Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",33.60%,FALSE,Medium
99, Recover Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",54.60%,FALSE,Medium
100, Same Tree,"['Tree', 'Depth-First Search', '2+']",63.60%,FALSE,Easy
101, Symmetric Tree,"['Tree', 'Depth-First Search', '2+']",57.80%,FALSE,Easy
102, Binary Tree Level Order Traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']",68.90%,FALSE,Medium
103, Binary Tree Zigzag Level Order Traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']",60.30%,FALSE,Medium
104, Maximum Depth of Binary Tree,"['Tree', 'Depth-First Search', '2+']",76.30%,FALSE,Easy
105, Construct Binary Tree from Preorder and Inorder Traversal,"['Array', 'Hash Table', '3+']",65.30%,FALSE,Medium
106, Construct Binary Tree from Inorder and Postorder Traversal,"['Array', 'Hash Table', '3+']",64.60%,FALSE,Medium
107, Binary Tree Level Order Traversal II,"['Tree', 'Breadth-First Search', 'Binary Tree']",64.60%,FALSE,Medium
108, Convert Sorted Array to Binary Search Tree,"['Array', 'Divide and Conquer', 'Tree', '2+']",72.90%,FALSE,Easy
109, Convert Sorted List to Binary Search Tree,"['Linked List', 'Divide and Conquer', '3+']",63.00%,FALSE,Medium
110, Balanced Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",53.70%,FALSE,Easy
111, Minimum Depth of Binary Tree,"['Tree', 'Depth-First Search', '2+']",49.20%,FALSE,Easy
112, Path Sum,"['Tree', 'Depth-First Search', '2+']",51.60%,FALSE,Easy
113, Path Sum II,"['Backtracking', 'Tree', '2+']",59.40%,FALSE,Medium
114, Flatten Binary Tree to Linked List,"['Linked List', 'Stack', 'Tree', '2+']",66.70%,FALSE,Medium
115, Distinct Subsequences,"['String', 'Dynamic Programming']",48.60%,FALSE,Hard
116, Populating Next Right Pointers in Each Node,"['Linked List', 'Tree', '3+']",63.90%,FALSE,Medium
117, Populating Next Right Pointers in Each Node II,"['Linked List', 'Tree', '3+']",53.90%,FALSE,Medium
118, Pascal's Triangle,"['Array', 'Dynamic Programming']",75.70%,FALSE,Easy
119, Pascal's Triangle II,"['Array', 'Dynamic Programming']",64.90%,FALSE,Easy
120, Triangle,"['Array', 'Dynamic Programming']",57.90%,FALSE,Medium
121, Best Time to Buy and Sell Stock,"['Array', 'Dynamic Programming']",54.30%,FALSE,Easy
122, Best Time to Buy and Sell Stock II,"['Array', 'Dynamic Programming', 'Greedy']",68.00%,FALSE,Medium
123, Best Time to Buy and Sell Stock III,"['Array', 'Dynamic Programming']",49.50%,FALSE,Hard
124, Binary Tree Maximum Path Sum,"['Dynamic Programming', 'Tree', '2+']",40.50%,FALSE,Hard
125, Valid Palindrome,"['Two Pointers', 'String']",49.10%,FALSE,Easy
126, Word Ladder II,"['Hash Table', 'String', 'Backtracking', '1+']",27.10%,FALSE,Hard
127, Word Ladder,"['Hash Table', 'String', 'Breadth-First Search']",40.80%,FALSE,Hard
128, Longest Consecutive Sequence,"['Array', 'Hash Table', 'Union Find']",47.60%,FALSE,Medium
129, Sum Root to Leaf Numbers,"['Tree', 'Depth-First Search', 'Binary Tree']",67.00%,FALSE,Medium
130, Surrounded Regions,"['Array', 'Depth-First Search', '3+']",41.10%,FALSE,Medium
131, Palindrome Partitioning,"['String', 'Dynamic Programming', '1+']",70.60%,FALSE,Medium
132, Palindrome Partitioning II,"['String', 'Dynamic Programming']",34.40%,FALSE,Hard
133, Clone Graph,"['Hash Table', 'Depth-First Search', '2+']",59.60%,FALSE,Medium
134, Gas Station,"['Array', 'Greedy']",45.60%,FALSE,Medium
135, Candy,"['Array', 'Greedy']",43.90%,FALSE,Hard
136, Single Number,"['Array', 'Bit Manipulation']",74.50%,FALSE,Easy
137, Single Number II,"['Array', 'Bit Manipulation']",64.00%,FALSE,Medium
138, Copy List with Random Pointer,"['Hash Table', 'Linked List']",58.10%,FALSE,Medium
139, Word Break,"['Array', 'Hash Table', 'String', '3+']",47.40%,FALSE,Medium
140, Word Break II,"['Array', 'Hash Table', 'String', '4+']",52.10%,FALSE,Hard
141, Linked List Cycle,"['Hash Table', 'Linked List', 'Two Pointers']",51.30%,FALSE,Easy
142, Linked List Cycle II,"['Hash Table', 'Linked List', 'Two Pointers']",53.00%,FALSE,Medium
143, Reorder List,"['Linked List', 'Two Pointers', 'Stack', '1+']",60.50%,FALSE,Medium
144, Binary Tree Preorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",71.20%,FALSE,Easy
145, Binary Tree Postorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",73.90%,FALSE,Easy
146, LRU Cache,"['Hash Table', 'Linked List', 'Design', '1+']",43.60%,FALSE,Medium
147, Insertion Sort List,"['Linked List', 'Sorting']",54.90%,FALSE,Medium
148, Sort List,"['Linked List', 'Two Pointers', '3+']",59.90%,FALSE,Medium
149, Max Points on a Line,"['Array', 'Hash Table', 'Math', '1+']",27.80%,FALSE,Hard
150, Evaluate Reverse Polish Notation,"['Array', 'Math', 'Stack']",53.10%,FALSE,Medium
151, Reverse Words in a String,"['Two Pointers', 'String']",47.30%,FALSE,Medium
152, Maximum Product Subarray,"['Array', 'Dynamic Programming']",34.10%,FALSE,Medium
153, Find Minimum in Rotated Sorted Array,"['Array', 'Binary Search']",51.60%,FALSE,Medium
154, Find Minimum in Rotated Sorted Array II,"['Array', 'Binary Search']",43.80%,FALSE,Hard
155, Min Stack,"['Stack', 'Design']",55.20%,FALSE,Medium
156, Binary Tree Upside Down,"['Tree', 'Depth-First Search', 'Binary Tree']",63.50%,TRUE,Medium
157, Read N Characters Given Read4,"['Array', 'Simulation', 'Interactive']",41.90%,TRUE,Easy
158, Read N Characters Given read4 II - Call Multiple Times,"['Array', 'Simulation', 'Interactive']",42.60%,TRUE,Hard
159, Longest Substring with At Most Two Distinct Characters,"['Hash Table', 'String', 'Sliding Window']",55.80%,TRUE,Medium
160, Intersection of Two Linked Lists,"['Hash Table', 'Linked List', 'Two Pointers']",59.20%,FALSE,Easy
161, One Edit Distance,"['Two Pointers', 'String']",34.40%,TRUE,Medium
162, Find Peak Element,"['Array', 'Binary Search']",46.10%,FALSE,Medium
163, Missing Ranges,['Array'],34.40%,TRUE,Easy
164, Maximum Gap,"['Array', 'Sorting', 'Bucket Sort', '1+']",47.60%,FALSE,Medium
165, Compare Version Numbers,"['Two Pointers', 'String']",41.50%,FALSE,Medium
166, Fraction to Recurring Decimal,"['Hash Table', 'Math', 'String']",25.50%,FALSE,Medium
167, Two Sum II - Input Array Is Sorted,"['Array', 'Two Pointers', 'Binary Search']",62.30%,FALSE,Medium
168, Excel Sheet Column Title,"['Math', 'String']",42.00%,FALSE,Easy
169, Majority Element,"['Array', 'Hash Table', '3+']",65.30%,FALSE,Easy
170, Two Sum III - Data structure design,"['Array', 'Hash Table', 'Two Pointers', '2+']",38.40%,TRUE,Easy
171, Excel Sheet Column Number,"['Math', 'String']",64.70%,FALSE,Easy
172, Factorial Trailing Zeroes,['Math'],44.00%,FALSE,Medium
173, Binary Search Tree Iterator,"['Stack', 'Tree', 'Design', '3+']",73.40%,FALSE,Medium
174, Dungeon Game,"['Array', 'Dynamic Programming', 'Matrix']",38.60%,FALSE,Hard
175, Combine Two Tables,['Database'],77.00%,FALSE,Easy
176, Second Highest Salary,['Database'],42.00%,FALSE,Medium
177, Nth Highest Salary,['Database'],38.00%,FALSE,Medium
178, Rank Scores,['Database'],63.70%,FALSE,Medium
179, Largest Number,"['Array', 'String', 'Greedy', '1+']",40.20%,FALSE,Medium
180, Consecutive Numbers,['Database'],44.40%,FALSE,Medium
181, Employees Earning More Than Their Managers,['Database'],70.50%,FALSE,Easy
182, Duplicate Emails,['Database'],71.70%,FALSE,Easy
183, Customers Who Never Order,['Database'],69.80%,FALSE,Easy
184, Department Highest Salary,['Database'],53.00%,FALSE,Medium
185, Department Top Three Salaries,['Database'],55.60%,FALSE,Hard
186, Reverse Words in a String II,"['Two Pointers', 'String']",55.30%,TRUE,Medium
187, Repeated DNA Sequences,"['Hash Table', 'String', '4+']",49.90%,FALSE,Medium
188, Best Time to Buy and Sell Stock IV,"['Array', 'Dynamic Programming']",44.90%,FALSE,Hard
189, Rotate Array,"['Array', 'Math', 'Two Pointers']",41.80%,FALSE,Medium
190, Reverse Bits,"['Divide and Conquer', 'Bit Manipulation']",60.70%,FALSE,Easy
191, Number of 1 Bits,"['Divide and Conquer', 'Bit Manipulation']",72.80%,FALSE,Easy
192, Word Frequency,['Shell'],26.10%,FALSE,Medium
193, Valid Phone Numbers,['Shell'],26.50%,FALSE,Easy
194, Transpose File,['Shell'],26.90%,FALSE,Medium
195, Tenth Line,['Shell'],33.70%,FALSE,Easy
196, Delete Duplicate Emails,['Database'],63.20%,FALSE,Easy
197, Rising Temperature,['Database'],49.20%,FALSE,Easy
198, House Robber,"['Array', 'Dynamic Programming']",51.60%,FALSE,Medium
199, Binary Tree Right Side View,"['Tree', 'Depth-First Search', '2+']",64.10%,FALSE,Medium
200, Number of Islands,"['Array', 'Depth-First Search', '3+']",60.70%,FALSE,Medium
201, Bitwise AND of Numbers Range,['Bit Manipulation'],47.30%,FALSE,Medium
202, Happy Number,"['Hash Table', 'Math', 'Two Pointers']",57.00%,FALSE,Easy
203, Remove Linked List Elements,"['Linked List', 'Recursion']",50.20%,FALSE,Easy
204, Count Primes,"['Array', 'Math', 'Enumeration', '1+']",34.10%,FALSE,Medium
205, Isomorphic Strings,"['Hash Table', 'String']",45.90%,FALSE,Easy
206, Reverse Linked List,"['Linked List', 'Recursion']",77.90%,FALSE,Easy
207, Course Schedule,"['Depth-First Search', '3+']",47.70%,FALSE,Medium
208, Implement Trie (Prefix Tree),"['Hash Table', 'String', 'Design', '1+']",66.70%,FALSE,Medium
209, Minimum Size Subarray Sum,"['Array', 'Binary Search', '2+']",48.00%,FALSE,Medium
210, Course Schedule II,"['Depth-First Search', '3+']",51.80%,FALSE,Medium
211, Design Add and Search Words Data Structure,"['String', 'Depth-First Search', 'Design', '1+']",46.10%,FALSE,Medium
212, Word Search II,"['Array', 'String', 'Backtracking', '2+']",36.70%,FALSE,Hard
213, House Robber II,"['Array', 'Dynamic Programming']",42.70%,FALSE,Medium
214, Shortest Palindrome,"['String', 'Rolling Hash', '2+']",39.90%,FALSE,Hard
215, Kth Largest Element in an Array,"['Array', 'Divide and Conquer', '3+']",67.20%,FALSE,Medium
216, Combination Sum III,"['Array', 'Backtracking']",70.80%,FALSE,Medium
217, Contains Duplicate,"['Array', 'Hash Table', 'Sorting']",62.40%,FALSE,Easy
218, The Skyline Problem,"['Array', 'Divide and Conquer', '5+']",43.20%,FALSE,Hard
219, Contains Duplicate II,"['Array', 'Hash Table', 'Sliding Window']",46.90%,FALSE,Easy
220, Contains Duplicate III,"['Array', 'Sliding Window', 'Sorting', '2+']",23.10%,FALSE,Hard
221, Maximal Square,"['Array', 'Dynamic Programming', 'Matrix']",47.60%,FALSE,Medium
222, Count Complete Tree Nodes,"['Binary Search', 'Bit Manipulation', '2+']",67.70%,FALSE,Easy
223, Rectangle Area,"['Math', 'Geometry']",46.80%,FALSE,Medium
224, Basic Calculator,"['Math', 'String', 'Stack', '1+']",44.10%,FALSE,Hard
225, Implement Stack using Queues,"['Stack', 'Design', 'Queue']",65.60%,FALSE,Easy
226, Invert Binary Tree,"['Tree', 'Depth-First Search', '2+']",78.10%,FALSE,Easy
227, Basic Calculator II,"['Math', 'String', 'Stack']",44.50%,FALSE,Medium
228, Summary Ranges,['Array'],51.90%,FALSE,Easy
229, Majority Element II,"['Array', 'Hash Table', 'Sorting', '1+']",52.90%,FALSE,Medium
230, Kth Smallest Element in a BST,"['Tree', 'Depth-First Search', '2+']",74.00%,FALSE,Medium
231, Power of Two,"['Math', 'Bit Manipulation', 'Recursion']",48.00%,FALSE,Easy
232, Implement Queue using Stacks,"['Stack', 'Design', 'Queue']",67.20%,FALSE,Easy
233, Number of Digit One,"['Math', 'Dynamic Programming', 'Recursion']",35.10%,FALSE,Hard
234, Palindrome Linked List,"['Linked List', 'Two Pointers', 'Stack', '1+']",54.40%,FALSE,Easy
235, Lowest Common Ancestor of a Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",66.40%,FALSE,Medium
236, Lowest Common Ancestor of a Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",64.30%,FALSE,Medium
237, Delete Node in a Linked List,['Linked List'],81.00%,FALSE,Medium
238, Product of Array Except Self,"['Array', 'Prefix Sum']",66.90%,FALSE,Medium
239, Sliding Window Maximum,"['Array', 'Queue', 'Sliding Window', '2+']",46.90%,FALSE,Hard
240, Search a 2D Matrix II,"['Array', 'Binary Search', '2+']",53.70%,FALSE,Medium
241, Different Ways to Add Parentheses,"['Math', 'String', '3+']",71.80%,FALSE,Medium
242, Valid Anagram,"['Hash Table', 'String', 'Sorting']",65.50%,FALSE,Easy
243, Shortest Word Distance,"['Array', 'String']",65.60%,TRUE,Easy
244, Shortest Word Distance II,"['Array', 'Hash Table', 'Two Pointers', '2+']",61.50%,TRUE,Medium
245, Shortest Word Distance III,"['Array', 'String']",58.70%,TRUE,Medium
246, Strobogrammatic Number,"['Hash Table', 'Two Pointers', 'String']",47.70%,TRUE,Easy
247, Strobogrammatic Number II,"['Array', 'String', 'Recursion']",52.70%,TRUE,Medium
248, Strobogrammatic Number III,"['Array', 'String', 'Recursion']",42.30%,TRUE,Hard
249, Group Shifted Strings,"['Array', 'Hash Table', 'String']",66.30%,TRUE,Medium
250, Count Univalue Subtrees,"['Tree', 'Depth-First Search', 'Binary Tree']",56.70%,TRUE,Medium
251, Flatten 2D Vector,"['Array', 'Two Pointers', 'Design', '1+']",49.70%,TRUE,Medium
252, Meeting Rooms,"['Array', 'Sorting']",58.50%,TRUE,Easy
253, Meeting Rooms II,"['Array', 'Two Pointers', 'Greedy', '3+']",51.60%,TRUE,Medium
254, Factor Combinations,['Backtracking'],49.90%,TRUE,Medium
255, Verify Preorder Sequence in Binary Search Tree,"['Array', 'Stack', 'Tree', '4+']",50.30%,TRUE,Medium
256, Paint House,"['Array', 'Dynamic Programming']",63.00%,TRUE,Medium
257, Binary Tree Paths,"['String', 'Backtracking', 'Tree', '2+']",65.00%,FALSE,Easy
258, Add Digits,"['Math', 'Simulation', 'Number Theory']",67.30%,FALSE,Easy
259, 3Sum Smaller,"['Array', 'Two Pointers', 'Binary Search', '1+']",50.90%,TRUE,Medium
260, Single Number III,"['Array', 'Bit Manipulation']",70.80%,FALSE,Medium
261, Graph Valid Tree,"['Depth-First Search', '3+']",48.70%,TRUE,Medium
262, Trips and Users,['Database'],36.60%,FALSE,Hard
263, Ugly Number,['Math'],42.20%,FALSE,Easy
264, Ugly Number II,"['Hash Table', 'Math', '2+']",49.10%,FALSE,Medium
265, Paint House II,"['Array', 'Dynamic Programming']",55.70%,TRUE,Hard
266, Palindrome Permutation,"['Hash Table', 'String', 'Bit Manipulation']",67.80%,TRUE,Easy
267, Palindrome Permutation II,"['Hash Table', 'String', 'Backtracking']",41.90%,TRUE,Medium
268, Missing Number,"['Array', 'Hash Table', 'Math', '3+']",68.40%,FALSE,Easy
269, Alien Dictionary,"['Array', 'String', 'Depth-First Search', '3+']",36.10%,TRUE,Hard
270, Closest Binary Search Tree Value,"['Binary Search', 'Tree', '3+']",50.80%,TRUE,Easy
271, Encode and Decode Strings,"['Array', 'String', 'Design']",48.00%,TRUE,Medium
272, Closest Binary Search Tree Value II,"['Two Pointers', 'Stack', 'Tree', '4+']",59.60%,TRUE,Hard
273, Integer to English Words,"['Math', 'String', 'Recursion']",34.10%,FALSE,Hard
274, H-Index,"['Array', 'Sorting', 'Counting Sort']",39.50%,FALSE,Medium
275, H-Index II,"['Array', 'Binary Search']",38.50%,FALSE,Medium
276, Paint Fence,['Dynamic Programming'],47.20%,TRUE,Medium
277, Find the Celebrity,"['Two Pointers', 'Graph', 'Interactive']",47.70%,TRUE,Medium
278, First Bad Version,"['Binary Search', 'Interactive']",45.10%,FALSE,Easy
279, Perfect Squares,"['Math', 'Dynamic Programming', '1+']",55.20%,FALSE,Medium
280, Wiggle Sort,"['Array', 'Greedy', 'Sorting']",67.90%,TRUE,Medium
281, Zigzag Iterator,"['Array', 'Design', 'Queue', '1+']",64.60%,TRUE,Medium
282, Expression Add Operators,"['Math', 'String', 'Backtracking']",40.40%,FALSE,Hard
283, Move Zeroes,"['Array', 'Two Pointers']",62.20%,FALSE,Easy
284, Peeking Iterator,"['Array', 'Design', 'Iterator']",60.00%,FALSE,Medium
285, Inorder Successor in BST,"['Tree', 'Depth-First Search', '2+']",50.20%,TRUE,Medium
286, Walls and Gates,"['Array', 'Breadth-First Search', 'Matrix']",62.10%,TRUE,Medium
287, Find the Duplicate Number,"['Array', 'Two Pointers', 'Binary Search', '1+']",61.80%,FALSE,Medium
288, Unique Word Abbreviation,"['Array', 'Hash Table', 'String', '1+']",26.60%,TRUE,Medium
289, Game of Life,"['Array', 'Matrix', 'Simulation']",70.30%,FALSE,Medium
290, Word Pattern,"['Hash Table', 'String']",42.50%,FALSE,Easy
291, Word Pattern II,"['Hash Table', 'String', 'Backtracking']",48.40%,TRUE,Medium
292, Nim Game,"['Math', 'Brainteaser', 'Game Theory']",57.40%,FALSE,Easy
293, Flip Game,['String'],64.70%,TRUE,Easy
294, Flip Game II,"['Math', 'Dynamic Programming', '3+']",52.10%,TRUE,Medium
295, Find Median from Data Stream,"['Two Pointers', 'Design', 'Sorting', '2+']",52.50%,FALSE,Hard
296, Best Meeting Point,"['Array', 'Math', 'Sorting', '1+']",61.00%,TRUE,Hard
297, Serialize and Deserialize Binary Tree,"['String', 'Tree', 'Depth-First Search', '3+']",57.70%,FALSE,Hard
298, Binary Tree Longest Consecutive Sequence,"['Tree', 'Depth-First Search', 'Binary Tree']",53.80%,TRUE,Medium
299, Bulls and Cows,"['Hash Table', 'String', 'Counting']",50.70%,FALSE,Medium
300, Longest Increasing Subsequence,"['Array', 'Binary Search', '1+']",56.60%,FALSE,Medium
301, Remove Invalid Parentheses,"['String', 'Backtracking', '1+']",48.70%,FALSE,Hard
302, Smallest Rectangle Enclosing Black Pixels,"['Array', 'Binary Search', '3+']",59.20%,TRUE,Hard
303, Range Sum Query - Immutable,"['Array', 'Design', 'Prefix Sum']",65.60%,FALSE,Easy
304, Range Sum Query 2D - Immutable,"['Array', 'Design', 'Matrix', '1+']",55.40%,FALSE,Medium
305, Number of Islands II,"['Array', 'Hash Table', 'Union Find']",39.90%,TRUE,Hard
306, Additive Number,"['String', 'Backtracking']",32.10%,FALSE,Medium
307, Range Sum Query - Mutable,"['Array', 'Design', 'Binary Indexed Tree', '1+']",41.30%,FALSE,Medium
308, Range Sum Query 2D - Mutable,"['Array', 'Design', 'Binary Indexed Tree', '2+']",44.40%,TRUE,Hard
309, Best Time to Buy and Sell Stock with Cooldown,"['Array', 'Dynamic Programming']",59.30%,FALSE,Medium
310, Minimum Height Trees,"['Depth-First Search', '3+']",41.90%,FALSE,Medium
311, Sparse Matrix Multiplication,"['Array', 'Hash Table', 'Matrix']",68.40%,TRUE,Medium
312, Burst Balloons,"['Array', 'Dynamic Programming']",60.10%,FALSE,Hard
313, Super Ugly Number,"['Array', 'Math', 'Dynamic Programming']",45.40%,FALSE,Medium
314, Binary Tree Vertical Order Traversal,"['Hash Table', 'Tree', '4+']",55.60%,TRUE,Medium
